prompt,notes,expected_genre_labels,predicted_genres,genre_accuracy,genre_recall,expected_intents,intent_hits,prompt_intent_accuracy,precision_at_5,top_k_genre_match,repeated_query_overlap,genre_diversity,artist_diversity,cluster_diversity,small_artist_compliance,top_result_artists,top_result_genres
lugn,Pure mood prompt for calm listening.,[],['Electronic'],True,1.0,"['calm', 'focus']","['calm', 'focus']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['David Sylvian', 'Eashwar Subramanian', 'U137', 'Lauge', 'Sebastian Plano']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
plugga,Activity/context prompt for studying.,[],['Electronic'],True,1.0,"['focus', 'study']","['focus', 'study']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['David Sylvian', 'Eashwar Subramanian', 'U137', 'Lauge', 'Sebastian Plano']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
träna,Activity/context prompt for exercise.,[],"['Electronic', 'Rock']",True,1.0,"['workout', 'training']","['workout', 'training']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Fleetwood Mac', 'Lenny Kravitz', 'James Blunt', 'Bastille', 'Jaymes Young']","['rock', 'rock', 'rock', 'rock', 'rock']"
dansa,Activity prompt for dancing.,[],"['Pop', 'Electronic']",True,1.0,"['dance', 'party']","['dance', 'party']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Todd Terry', 'Pongo', 'Axero', 'Huxley', 'Inpetto']","['deep-house', 'electronic', 'deep-house', 'deep-house', 'deep-house']"
fest,Context prompt for party listening.,[],"['Pop', 'Electronic']",True,1.0,"['party', 'club']","['party', 'club']",1.0,1.0,1.0,0.0,0.6,1.0,0.6,1.0,"['Jess Glynne', 'Todd Terry', 'Axero', 'TOOMANYLEFTHANDS', 'Róisín Murphy']","['house', 'deep-house', 'deep-house', 'electronic', 'electronic']"
natt,Context prompt for late-night music.,[],"['Indie', 'Electronic']",True,1.0,"['night', 'dark']","['night', 'dark']",1.0,1.0,1.0,0.0,0.8,1.0,0.6,1.0,"['Tube & Berger', 'Michael Brook', 'Praveen', 'ARIETE', 'Vicente Garcia']","['electronic', 'ambient', 'ambient', 'indie', 'alternative']"
sommar,Context prompt for summer listening.,[],"['Pop', 'Indie']",True,1.0,"['happy', 'summer']","['happy', 'summer']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['chloe moriondo', 'Material Issue', 'Paul Collins', 'Maisie Peters', 'Hayley Kiyoko']","['indie-pop', 'power-pop', 'power-pop', 'indie-pop', 'indie-pop']"
regnig kväll,Broad Swedish mood/context prompt.,"['Indie', 'Electronic']","['Indie', 'Electronic']",True,1.0,"['night', 'moody']","['night', 'moody']",1.0,1.0,1.0,0.0,0.4,1.0,0.8,1.0,"['David Sylvian', 'U137', 'Eashwar Subramanian', 'Michael Brook', 'Sophie and the Giants']","['ambient', 'ambient', 'ambient', 'ambient', 'indie']"
calm morning music,English context prompt for calm listening.,"['Jazz', 'Classical', 'Indie']",['Electronic'],False,0.0,"['calm', 'morning']","['calm', 'morning']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Praveen', 'Eashwar Subramanian', 'U137', 'Lauge', 'Sebastian Plano']","['ambient', 'ambient', 'ambient', 'ambient', 'ambient']"
night drive,English context prompt already partially supported by phrase hints.,"['Electronic', 'Rock']","['Electronic', 'Rock']",True,1.0,"['night', 'drive']","['night', 'drive']",1.0,1.0,1.0,0.0,0.6,1.0,0.8,1.0,"['Tube & Berger', 'Kungs', 'Michael Brook', 'JP Cooper', 'Praveen']","['electronic', 'house', 'ambient', 'house', 'ambient']"
ledsen indie,Mixed prompt combining genre and emotion.,['Indie'],['Indie'],True,1.0,"['sad', 'melancholic', 'indie']","['sad', 'melancholic', 'indie']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Mahalia', 'A R I Z O N A', 'Echosmith', 'Briston Maroney', 'Maggie Rogers']","['alternative', 'indie-pop', 'indie-pop', 'indie-pop', 'indie-pop']"
arg hiphop,Mixed prompt combining intensity and hip-hop intent.,['Hip-Hop'],"['Hip-Hop', 'Rock']",True,1.0,"['angry', 'intense', 'hiphop']","['angry', 'intense', 'hiphop']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['Machine Gun Kelly', 'O Surto', 'Casanovas schwule Seite', 'Anberlin', 'Moptop']","['hip-hop', 'punk-rock', 'punk-rock', 'punk-rock', 'punk-rock']"
mörk svensk indie,"Mixed prompt combining scene, language, and mood.",['Indie'],"['Indie', 'Electronic']",True,1.0,"['dark', 'swedish', 'indie']","['dark', 'swedish', 'indie']",1.0,0.0,0.0,0.0,0.4,1.0,0.6,1.0,"['Michael Brook', 'Praveen', 'Tube & Berger', 'David Sylvian', 'Lauge']","['ambient', 'ambient', 'electronic', 'ambient', 'ambient']"
glad sommarpop,"Mixed prompt combining mood, season, and genre.",['Pop'],"['Pop', 'Indie']",True,1.0,"['happy', 'summer', 'pop']","['happy', 'summer', 'pop']",1.0,1.0,1.0,0.0,0.4,1.0,0.6,1.0,"['chloe moriondo', 'Material Issue', 'Paul Collins', 'Hayley Kiyoko', 'The Band CAMINO']","['indie-pop', 'power-pop', 'power-pop', 'indie-pop', 'indie-pop']"
lugn nattmusik,Mixed prompt combining calm and late-night context.,[],"['Electronic', 'Indie']",True,1.0,"['calm', 'night']","['calm', 'night']",1.0,0.6,0.4,0.0,0.6,1.0,0.6,1.0,"['Tube & Berger', 'David Sylvian', 'Michael Brook', 'Loyle Carner', ""Lil' Kim""]","['electronic', 'ambient', 'ambient', 'alternative', 'alternative']"
dansa house,Mixed prompt combining dance context and explicit genre.,['Electronic'],"['Electronic', 'Pop']",True,1.0,"['dance', 'party', 'house']","['dance', 'party', 'house']",1.0,1.0,1.0,0.0,0.2,1.0,0.6,1.0,"['Todd Terry', 'Inpetto', 'Axero', 'Huxley', 'Alex Preston']","['deep-house', 'deep-house', 'deep-house', 'deep-house', 'deep-house']"
